start_station_code,end_station_code,start_date
4,1,2016-05-07
4,6,2016-05-07
7,5,2016-05-07
2,5,2016-05-07
5,2,2016-05-07
6,7,2016-05-07
4,3,2016-05-07
5,7,2016-05-07
8,6,2016-05-07
2,8,2016-05-07
4,6,2016-05-07
3,7,2016-05-07
1,7,2016-05-07
4,7,2016-05-07
4,3,2016-05-07
2,3,2016-05-07
8,1,2016-05-07
2,3,2016-05-07
1,7,2016-05-07
3,8,2016-05-07
1,8,2016-05-07
7,6,2016-05-07
1,5,2016-05-07
7,2,2016-05-07
1,5,2016-05-07
2,4,2016-05-07
1,4,2016-05-07
8,1,2016-05-07
1,4,2016-05-07
7,3,2016-05-07
4,7,2016-05-07
4,1,2016-05-07
2,5,2016-05-07
7,2,2016-05-07
7,5,2016-05-07
4,5,2016-05-07
7,4,2016-05-07
4,1,2016-05-07
7,5,2016-05-07
2,8,2016-05-07
4,5,2016-05-07
3,6,2016-05-07
4,1,2016-05-07
8,6,2016-05-07
7,8,2016-05-07
5,2,2016-05-07
5,6,2016-05-07
7,6,2016-05-08
3,2,2016-05-08
5,2,2016-05-08
7,8,2016-05-08
2,1,2016-05-08
6,5,2016-05-08
7,8,2016-05-08
5,2,2016-05-08
6,3,2016-05-08
7,5,2016-05-08
5,6,2016-05-08
2,1,2016-05-08
1,2,2016-05-08
4,8,2016-05-08
8,3,2016-05-08
8,7,2016-05-08
4,8,2016-05-08
1,8,2016-05-08
2,3,2016-05-08
3,4,2016-05-08
6,2,2016-05-08
7,5,2016-05-08
7,6,2016-05-08
8,7,2016-05-08
7,4,2016-05-08
2,8,2016-05-08
5,8,2016-05-08
1,8,2016-05-08
4,6,2016-05-08
8,3,2016-05-08
1,4,2016-05-08
2,7,2016-05-08
8,4,2016-05-08
6,3,2016-05-08
5,4,2016-05-08
8,4,2016-05-08
6,2,2016-05-08
4,1,2016-05-08
8,5,2016-05-08
5,3,2016-05-08
6,7,2016-05-08
6,7,2016-05-08
6,3,2016-05-08
6,1,2016-05-08
1,8,2016-05-08
2,6,2016-05-08
2,1,2016-05-08
2,8,2016-05-08
8,7,2016-05-08
1,6,2016-05-08
5,8,2016-05-08
7,4,2016-05-08
7,3,2016-05-08
5,1,2016-05-08
1,2,2016-05-09
8,1,2016-05-09
1,4,2016-05-09
8,4,2016-05-09
3,7,2016-05-09
5,8,2016-05-09
5,8,2016-05-09
7,3,2016-05-09
6,5,2016-05-09
3,8,2016-05-09
4,8,2016-05-09
8,1,2016-05-09
4,8,2016-05-09
1,5,2016-05-09
6,3,2016-05-09
2,3,2016-05-09
2,6,2016-05-09
4,2,2016-05-09
1,3,2016-05-09
2,5,2016-05-09
3,4,2016-05-09
1,7,2016-05-09
1,6,2016-05-09
4,6,2016-05-09
3,5,2016-05-09
6,2,2016-05-09
4,2,2016-05-09
8,2,2016-05-09
7,8,2016-05-09
5,2,2016-05-09
1,4,2016-05-09
1,2,2016-05-09
2,4,2016-05-09
5,1,2016-05-09
5,4,2016-05-10
2,8,2016-05-10
1,3,2016-05-10
4,2,2016-05-10
5,2,2016-05-10
6,7,2016-05-10
7,6,2016-05-10
6,8,2016-05-10
4,7,2016-05-10
1,2,2016-05-10
1,2,2016-05-10
2,4,2016-05-10
6,1,2016-05-10
5,8,2016-05-10
7,2,2016-05-10
6,5,2016-05-10
1,3,2016-05-10
6,5,2016-05-10
3,7,2016-05-10
4,3,2016-05-10
1,7,2016-05-10
6,4,2016-05-10
8,3,2016-05-10
8,7,2016-05-10
8,6,2016-05-10
7,8,2016-05-10
6,3,2016-05-10
4,7,2016-05-10
1,2,2016-05-10
3,4,2016-05-10
3,2,2016-05-10
4,3,2016-05-10
2,7,2016-05-10
1,2,2016-05-10
7,1,2016-05-10
6,3,2016-05-10
6,1,2016-05-10
5,4,2016-05-10
1,8,2016-05-10
4,7,2016-05-10
6,4,2016-05-10
4,5,2016-05-10
4,6,2016-05-10
6,2,2016-05-10
8,3,2016-05-10
2,8,2016-05-10
8,6,2016-05-10
1,2,2016-05-10
1,4,2016-05-10
7,8,2016-05-10
2,3,2016-05-11
7,8,2016-05-11
1,2,2016-05-11
3,7,2016-05-11
7,4,2016-05-11
2,7,2016-05-11
8,2,2016-05-11
6,3,2016-05-11
8,5,2016-05-11
7,6,2016-05-11
3,6,2016-05-11
2,3,2016-05-11
4,6,2016-05-11
5,8,2016-05-11
2,3,2016-05-11
4,7,2016-05-11
3,4,2016-05-11
8,1,2016-05-11
3,5,2016-05-11
3,6,2016-05-11
8,7,2016-05-11
7,1,2016-05-11
2,7,2016-05-11
7,8,2016-05-11
7,5,2016-05-11
1,5,2016-05-11
8,5,2016-05-11
7,6,2016-05-11
2,6,2016-05-11
8,4,2016-05-11
6,4,2016-05-11
1,3,2016-05-11
5,2,2016-05-11
8,1,2016-05-11
4,1,2016-05-11
1,4,2016-05-11
2,8,2016-05-11
7,2,2016-05-11
2,1,2016-05-11
6,4,2016-05-11
5,4,2016-05-11
7,2,2016-05-11
8,6,2016-05-11
4,1,2016-05-11
5,7,2016-05-11
7,5,2016-05-11
4,8,2016-05-11
8,6,2016-05-11
6,8,2016-05-11
4,6,2016-05-11
4,5,2016-05-11
6,5,2016-05-11
6,4,2016-05-11
4,1,2016-05-11
8,3,2016-05-11
3,7,2016-05-12
7,2,2016-05-12
7,3,2016-05-12
5,1,2016-05-12
7,5,2016-05-12
3,7,2016-05-12
8,5,2016-05-12
5,2,2016-05-12
7,3,2016-05-12
3,2,2016-05-12
8,7,2016-05-12
3,6,2016-05-12
4,3,2016-05-12
3,2,2016-05-12
7,1,2016-05-12
5,8,2016-05-12
1,8,2016-05-12
5,1,2016-05-12
6,2,2016-05-12
3,7,2016-05-12
4,6,2016-05-12
4,3,2016-05-12
8,1,2016-05-12
8,1,2016-05-12
5,8,2016-05-12
4,3,2016-05-12
1,6,2016-05-12
1,3,2016-05-12
4,7,2016-05-12
7,6,2016-05-12
6,3,2016-05-12
4,5,2016-05-12
6,5,2016-05-12
2,3,2016-05-12
4,1,2016-05-12
7,4,2016-05-12
8,3,2016-05-12
7,4,2016-05-12
6,5,2016-05-12
4,1,2016-05-12
1,3,2016-05-12
4,1,2016-05-12
6,3,2016-05-12
1,7,2016-05-12
7,2,2016-05-12
7,6,2016-05-12
6,5,2016-05-12
5,1,2016-05-12
3,4,2016-05-12
8,1,2016-05-12
1,2,2016-05-13
6,7,2016-05-13
7,6,2016-05-13
3,8,2016-05-13
3,5,2016-05-13
5,1,2016-05-13
3,5,2016-05-13
1,2,2016-05-13
8,3,2016-05-13
8,7,2016-05-13
8,2,2016-05-13
7,3,2016-05-13
5,7,2016-05-13
3,2,2016-05-13
2,3,2016-05-13
1,5,2016-05-13
8,4,2016-05-13
4,2,2016-05-13
2,4,2016-05-13
4,5,2016-05-13
5,1,2016-05-13
8,7,2016-05-13
2,4,2016-05-13
6,5,2016-05-13
8,1,2016-05-13
5,3,2016-05-13
3,2,2016-05-13
6,3,2016-05-13
1,2,2016-05-13
7,5,2016-05-13
3,2,2016-05-13
2,7,2016-05-13
5,1,2016-05-13
8,7,2016-05-13
8,4,2016-05-13
1,5,2016-05-13
3,1,2016-05-13
3,5,2016-05-13
6,7,2016-05-13
8,4,2016-05-13
8,3,2016-05-13
1,8,2016-05-13
6,1,2016-05-14
7,4,2016-05-14
5,1,2016-05-14
1,6,2016-05-14
7,1,2016-05-14
2,3,2016-05-14
3,6,2016-05-14
6,1,2016-05-14
7,6,2016-05-14
8,6,2016-05-14
3,7,2016-05-14
7,3,2016-05-14
8,6,2016-05-14
2,3,2016-05-14
4,1,2016-05-14
8,4,2016-05-14
5,7,2016-05-14
3,1,2016-05-14
7,6,2016-05-14
1,2,2016-05-14
4,5,2016-05-14
4,2,2016-05-14
2,5,2016-05-14
7,2,2016-05-14
4,2,2016-05-14
4,7,2016-05-14
5,2,2016-05-14
6,4,2016-05-14
3,8,2016-05-14
6,3,2016-05-14
1,2,2016-05-14
3,4,2016-05-14
2,5,2016-05-14
3,4,2016-05-14
2,5,2016-05-14
7,1,2016-05-14
7,2,2016-05-14
7,8,2016-05-14
1,4,2016-05-14
1,3,2016-05-14
6,2,2016-05-14
5,7,2016-05-14
7,3,2016-05-14
6,8,2016-05-14
2,7,2016-05-14
4,8,2016-05-14
6,3,2016-05-14
7,2,2016-05-14
5,1,2016-05-14
7,8,2016-05-14
2,8,2016-05-14
7,6,2016-05-14
7,6,2016-05-14
1,5,2016-05-14
7,2,2016-05-14
5,4,2016-05-14
3,7,2016-05-14
4,1,2016-05-14
8,6,2016-05-14
7,8,2016-05-14
7,8,2016-05-14
7,1,2016-05-15
4,7,2016-05-15
6,7,2016-05-15
2,6,2016-05-15
2,7,2016-05-15
1,2,2016-05-15
4,5,2016-05-15
3,4,2016-05-15
3,8,2016-05-15
1,6,2016-05-15
3,8,2016-05-15
2,1,2016-05-15
8,7,2016-05-15
2,8,2016-05-15
6,2,2016-05-15
2,4,2016-05-15
7,3,2016-05-15
4,5,2016-05-15
3,8,2016-05-15
7,3,2016-05-15
6,2,2016-05-15
8,7,2016-05-15
1,7,2016-05-15
2,3,2016-05-15
2,8,2016-05-15
7,4,2016-05-15
7,2,2016-05-15
3,5,2016-05-15
5,1,2016-05-15
2,6,2016-05-15
8,2,2016-05-15
4,6,2016-05-15
7,6,2016-05-15
5,8,2016-05-15
1,3,2016-05-15
6,8,2016-05-15
3,2,2016-05-15
4,7,2016-05-15
5,1,2016-05-15
4,8,2016-05-15
1,6,2016-05-15
7,2,2016-05-15
6,7,2016-05-15
3,4,2016-05-15
5,1,2016-05-15
4,8,2016-05-15
5,3,2016-05-15
6,2,2016-05-15
6,2,2016-05-15
4,1,2016-05-15
5,6,2016-05-15
7,3,2016-05-15
7,8,2016-05-15
2,7,2016-05-15
7,1,2016-05-15
3,6,2016-05-15
5,1,2016-05-15
4,5,2016-05-15
5,7,2016-05-15
7,6,2016-05-15
7,3,2016-05-15
1,8,2016-05-15
3,2,2016-05-15
6,2,2016-05-15
5,4,2016-05-15
4,8,2016-05-15
2,7,2016-05-15
5,2,2016-05-15
3,1,2016-05-15
1,2,2016-05-15
5,2,2016-05-15
8,2,2016-05-15
4,2,2016-05-15
7,6,2016-05-16
5,6,2016-05-16
6,7,2016-05-16
3,4,2016-05-16
6,8,2016-05-16
5,3,2016-05-16
2,5,2016-05-16
6,8,2016-05-16
5,2,2016-05-16
8,6,2016-05-16
6,7,2016-05-16
3,1,2016-05-16
2,6,2016-05-16
5,6,2016-05-16
3,1,2016-05-16
3,5,2016-05-16
1,6,2016-05-16
1,6,2016-05-16
6,2,2016-05-16
3,4,2016-05-16
5,2,2016-05-16
1,4,2016-05-16
3,2,2016-05-16
3,6,2016-05-16
5,1,2016-05-16
4,2,2016-05-16
2,4,2016-05-16
8,7,2016-05-16
1,5,2016-05-16
6,5,2016-05-16
3,4,2016-05-16
8,4,2016-05-16
8,2,2016-05-16
4,3,2016-05-16
4,8,2016-05-16
1,7,2016-05-16
8,4,2016-05-16
8,5,2016-05-16
5,4,2016-05-16
8,6,2016-05-16
8,3,2016-05-16
5,6,2016-05-16
4,2,2016-05-16
8,5,2016-05-16
7,2,2016-05-17
6,3,2016-05-17
6,5,2016-05-17
1,4,2016-05-17
1,4,2016-05-17
3,6,2016-05-17
4,5,2016-05-17
8,2,2016-05-17
4,1,2016-05-17
6,7,2016-05-17
5,2,2016-05-17
8,4,2016-05-17
1,2,2016-05-17
4,2,2016-05-17
3,8,2016-05-17
6,7,2016-05-17
4,1,2016-05-17
7,8,2016-05-17
3,7,2016-05-17
2,1,2016-05-17
5,2,2016-05-17
4,1,2016-05-17
6,3,2016-05-17
8,6,2016-05-17
6,5,2016-05-17
8,3,2016-05-17
4,8,2016-05-17
5,2,2016-05-17
4,5,2016-05-17
6,5,2016-05-17
5,1,2016-05-17
5,7,2016-05-17
4,7,2016-05-17
8,6,2016-05-17
8,3,2016-05-17
6,1,2016-05-17
2,4,2016-05-17
2,5,2016-05-17
7,1,2016-05-17
3,8,2016-05-17
2,5,2016-05-17
6,5,2016-05-17
1,7,2016-05-17
4,3,2016-05-17
8,6,2016-05-17
6,2,2016-05-17
7,4,2016-05-17
3,4,2016-05-17
2,1,2016-05-17
5,8,2016-05-17
2,7,2016-05-17
5,1,2016-05-17
4,2,2016-05-17
2,8,2016-05-17
3,4,2016-05-18
1,4,2016-05-18
3,5,2016-05-18
1,3,2016-05-18
3,2,2016-05-18
3,7,2016-05-18
1,6,2016-05-18
1,7,2016-05-18
8,7,2016-05-18
5,7,2016-05-18
1,7,2016-05-18
5,3,2016-05-18
7,5,2016-05-18
3,2,2016-05-18
6,1,2016-05-18
6,7,2016-05-18
1,5,2016-05-18
4,6,2016-05-18
2,8,2016-05-18
8,7,2016-05-18
6,3,2016-05-18
5,7,2016-05-18
4,5,2016-05-18
3,8,2016-05-18
5,2,2016-05-18
5,6,2016-05-18
6,3,2016-05-18
5,3,2016-05-18
6,4,2016-05-18
5,6,2016-05-18
8,5,2016-05-18
3,5,2016-05-18
1,5,2016-05-18
8,2,2016-05-18
7,2,2016-05-18
1,7,2016-05-18
2,7,2016-05-18
2,6,2016-05-18
5,1,2016-05-18
4,1,2016-05-18
3,6,2016-05-19
6,4,2016-05-19
2,6,2016-05-19
2,3,2016-05-19
7,4,2016-05-19
7,1,2016-05-19
3,2,2016-05-19
3,4,2016-05-19
8,5,2016-05-19
7,4,2016-05-19
6,3,2016-05-19
8,4,2016-05-19
2,6,2016-05-19
7,1,2016-05-19
2,3,2016-05-19
4,2,2016-05-19
1,6,2016-05-19
7,1,2016-05-19
8,3,2016-05-19
4,1,2016-05-19
7,4,2016-05-19
2,8,2016-05-19
3,5,2016-05-19
3,7,2016-05-19
2,6,2016-05-19
1,3,2016-05-19
4,1,2016-05-19
4,7,2016-05-19
2,3,2016-05-19
7,5,2016-05-19
3,1,2016-05-19
1,4,2016-05-19
8,5,2016-05-20
4,2,2016-05-20
6,8,2016-05-20
5,8,2016-05-20
6,4,2016-05-20
8,3,2016-05-20
7,2,2016-05-20
3,5,2016-05-20
4,3,2016-05-20
1,5,2016-05-20
7,1,2016-05-20
1,4,2016-05-20
2,5,2016-05-20
8,2,2016-05-20
4,3,2016-05-20
1,5,2016-05-20
7,2,2016-05-20
8,4,2016-05-20
7,5,2016-05-20
1,8,2016-05-20
3,2,2016-05-20
2,5,2016-05-20
4,5,2016-05-20
8,6,2016-05-20
3,2,2016-05-20
2,1,2016-05-20
1,7,2016-05-20
3,1,2016-05-20
3,5,2016-05-20
5,4,2016-05-20
7,4,2016-05-20
7,5,2016-05-20
2,8,2016-05-20
5,7,2016-05-20
2,6,2016-05-20
8,3,2016-05-20
6,8,2016-05-20
6,8,2016-05-20
6,3,2016-05-20
8,3,2016-05-20
1,6,2016-05-21
1,2,2016-05-21
7,1,2016-05-21
8,2,2016-05-21
6,7,2016-05-21
5,6,2016-05-21
3,4,2016-05-21
8,3,2016-05-21
6,8,2016-05-21
1,8,2016-05-21
7,2,2016-05-21
5,6,2016-05-21
5,3,2016-05-21
1,7,2016-05-21
6,7,2016-05-21
6,5,2016-05-21
7,2,2016-05-21
6,5,2016-05-21
7,5,2016-05-21
7,5,2016-05-21
6,2,2016-05-21
2,3,2016-05-21
1,2,2016-05-21
6,3,2016-05-21
3,1,2016-05-21
3,7,2016-05-21
1,4,2016-05-21
4,2,2016-05-21
5,6,2016-05-21
6,8,2016-05-21
5,4,2016-05-21
2,6,2016-05-21
4,8,2016-05-21
4,8,2016-05-21
3,1,2016-05-21
6,2,2016-05-21
6,4,2016-05-21
5,2,2016-05-21
6,2,2016-05-21
8,7,2016-05-21
7,8,2016-05-21
1,8,2016-05-21
6,1,2016-05-21
8,4,2016-05-21
2,6,2016-05-21
6,2,2016-05-21
8,1,2016-05-21
1,4,2016-05-21
3,8,2016-05-21
7,6,2016-05-21
5,7,2016-05-21
4,1,2016-05-21
5,6,2016-05-21
1,5,2016-05-21
8,5,2016-05-21
4,1,2016-05-21
7,1,2016-05-21
3,8,2016-05-21
4,5,2016-05-21
4,2,2016-05-21
4,7,2016-05-21
6,5,2016-05-21
6,7,2016-05-21
8,1,2016-05-21
4,6,2016-05-21
4,1,2016-05-21
5,7,2016-05-21
2,4,2016-05-21
6,7,2016-05-21
6,2,2016-05-21
3,2,2016-05-21
5,3,2016-05-21
1,6,2016-05-21
5,1,2016-05-21
3,7,2016-05-22
5,2,2016-05-22
5,2,2016-05-22
5,2,2016-05-22
2,5,2016-05-22
2,3,2016-05-22
1,3,2016-05-22
5,8,2016-05-22
7,3,2016-05-22
5,4,2016-05-22
4,2,2016-05-22
3,6,2016-05-22
8,7,2016-05-22
7,2,2016-05-22
7,5,2016-05-22
1,8,2016-05-22
5,2,2016-05-22
6,2,2016-05-22
1,6,2016-05-22
2,7,2016-05-22
5,1,2016-05-22
4,1,2016-05-22
6,2,2016-05-22
5,2,2016-05-22
6,8,2016-05-22
1,6,2016-05-22
6,2,2016-05-22
7,3,2016-05-22
8,4,2016-05-22
3,5,2016-05-22
8,4,2016-05-22
6,7,2016-05-22
2,8,2016-05-22
7,5,2016-05-22
8,1,2016-05-22
3,7,2016-05-22
3,5,2016-05-22
2,1,2016-05-22
8,5,2016-05-22
4,2,2016-05-22
5,1,2016-05-22
6,8,2016-05-22
5,7,2016-05-22
4,7,2016-05-22
3,5,2016-05-22
1,8,2016-05-22
2,7,2016-05-22
2,3,2016-05-22
6,1,2016-05-22
6,7,2016-05-22
5,6,2016-05-22
7,4,2016-05-22
7,6,2016-05-22
7,1,2016-05-22
2,4,2016-05-22
3,1,2016-05-22
1,8,2016-05-22
5,1,2016-05-22
5,8,2016-05-22
8,3,2016-05-23
4,1,2016-05-23
2,4,2016-05-23
5,8,2016-05-23
2,8,2016-05-23
1,4,2016-05-23
5,1,2016-05-23
5,8,2016-05-23
2,3,2016-05-23
1,7,2016-05-23
7,8,2016-05-23
2,4,2016-05-23
7,1,2016-05-23
3,6,2016-05-23
8,6,2016-05-23
5,3,2016-05-23
1,2,2016-05-23
6,7,2016-05-23
1,2,2016-05-23
2,7,2016-05-23
1,7,2016-05-23
7,2,2016-05-23
5,8,2016-05-23
5,6,2016-05-23
1,8,2016-05-23
6,7,2016-05-23
7,4,2016-05-23
7,8,2016-05-23
6,7,2016-05-23
1,6,2016-05-23
6,8,2016-05-23
7,3,2016-05-23
7,3,2016-05-23
6,4,2016-05-23
6,4,2016-05-23
1,3,2016-05-23
8,3,2016-05-24
8,1,2016-05-24
2,5,2016-05-24
6,5,2016-05-24
4,7,2016-05-24
1,3,2016-05-24
3,5,2016-05-24
7,6,2016-05-24
8,7,2016-05-24
8,4,2016-05-24
7,1,2016-05-24
2,7,2016-05-24
2,7,2016-05-24
6,8,2016-05-24
3,8,2016-05-24
6,4,2016-05-24
3,1,2016-05-24
6,3,2016-05-24
6,3,2016-05-24
3,2,2016-05-24
3,4,2016-05-24
3,4,2016-05-24
1,6,2016-05-24
5,1,2016-05-24
3,2,2016-05-24
4,7,2016-05-24
2,8,2016-05-24
5,1,2016-05-24
1,2,2016-05-24
1,2,2016-05-24
1,4,2016-05-24
2,4,2016-05-24
7,3,2016-05-24
8,5,2016-05-24
6,5,2016-05-24
8,4,2016-05-24
3,7,2016-05-24
1,2,2016-05-24
4,5,2016-05-24
1,5,2016-05-24
7,6,2016-05-24
8,4,2016-05-24
2,3,2016-05-24
1,7,2016-05-24
2,1,2016-05-25
2,6,2016-05-25
7,4,2016-05-25
8,7,2016-05-25
8,3,2016-05-25
8,7,2016-05-25
5,2,2016-05-25
5,1,2016-05-25
3,8,2016-05-25
5,3,2016-05-25
5,6,2016-05-25
7,5,2016-05-25
2,8,2016-05-25
6,5,2016-05-25
1,6,2016-05-25
7,8,2016-05-25
4,2,2016-05-25
8,7,2016-05-25
7,4,2016-05-25
2,6,2016-05-25
1,7,2016-05-25
5,8,2016-05-25
1,8,2016-05-25
5,3,2016-05-25
7,2,2016-05-25
7,1,2016-05-25
3,4,2016-05-25
7,2,2016-05-25
6,5,2016-05-25
7,1,2016-05-25
4,3,2016-05-25
4,1,2016-05-25
5,6,2016-05-25
5,8,2016-05-25
7,1,2016-05-25
6,1,2016-05-25
4,1,2016-05-25
1,2,2016-05-25
6,1,2016-05-25
8,4,2016-05-25
8,4,2016-05-25
1,8,2016-05-25
6,5,2016-05-25
6,3,2016-05-25
2,4,2016-05-25
7,1,2016-05-26
1,7,2016-05-26
3,6,2016-05-26
4,7,2016-05-26
4,2,2016-05-26
5,2,2016-05-26
3,7,2016-05-26
3,7,2016-05-26
7,3,2016-05-26
3,2,2016-05-26
8,4,2016-05-26
8,2,2016-05-26
5,1,2016-05-26
7,1,2016-05-26
7,6,2016-05-26
4,3,2016-05-26
7,1,2016-05-26
7,6,2016-05-26
3,6,2016-05-26
4,3,2016-05-26
8,5,2016-05-26
2,7,2016-05-26
4,7,2016-05-26
7,6,2016-05-26
3,1,2016-05-26
3,7,2016-05-26
6,7,2016-05-26
1,6,2016-05-26
7,4,2016-05-26
5,4,2016-05-26
5,7,2016-05-26
6,4,2016-05-26
4,8,2016-05-26
7,6,2016-05-26
7,5,2016-05-26
5,7,2016-05-26
5,3,2016-05-26
4,6,2016-05-26
7,4,2016-05-26
3,7,2016-05-26
8,5,2016-05-26
4,5,2016-05-26
6,8,2016-05-26
3,4,2016-05-27
2,1,2016-05-27
1,6,2016-05-27
7,5,2016-05-27
3,2,2016-05-27
4,3,2016-05-27
5,4,2016-05-27
7,1,2016-05-27
